Name,Address,Mobile,Email,Categories,Opening Times,text,docno
ulrichkern coiffeur,"Mühlegasse 31, 8001 Zurich",044 252 23 75,Missing,['Hairdresser'],"{'Monday': '9:00- to 18:00', 'Tuesday': '9:00- to 18:00', 'Wednesday': '9:00- to 18:00', 'Thursday': '9:00- to 18:00', 'Friday': '9:00- to 18:00', 'Saturday': '9:00- to 17:00', 'Sunday': 'Closed'}","Name: ulrichkern coiffeur | Address: Mühlegasse 31, 8001 Zurich | Categories: Hairdresser",72
Coiffure Wiederkehr,"Kasernenstrasse 19, 8004 Zurich",044 221 35 49,hair@coiffurewiederkehr.ch,['Hairdresser'],"{'Monday': 'Closed', 'Tuesday': '8:00- to 18:30', 'Wednesday': '8:00- to 18:30', 'Thursday': '8:00- to 18:30', 'Friday': '8:00- to 18:30', 'Saturday': '8:00- to 15:00', 'Sunday': 'Closed'}","Name: Coiffure Wiederkehr | Address: Kasernenstrasse 19, 8004 Zurich | Categories: Hairdresser",179
MSH Salon,"Stampfenbachstrasse 57, 8006 Zurich",044 350 62 50,Missing,['Hairdresser'],"{'Monday': 'Closed', 'Tuesday': '9:00- to 20:00', 'Wednesday': '9:00- to 20:00', 'Thursday': '9:00- to 18:00', 'Friday': '9:00- to 18:00', 'Saturday': '9:00- to 16:00', 'Sunday': 'Closed'}","Name: MSH Salon | Address: Stampfenbachstrasse 57, 8006 Zurich | Categories: Hairdresser",572
MSH Salon,"Stampfenbachstrasse 57, 8006 Zurich",044 350 62 50,Missing,['Hairdresser'],"{'Monday': 'Closed', 'Tuesday': '9:00- to 20:00', 'Wednesday': '9:00- to 20:00', 'Thursday': '9:00- to 18:00', 'Friday': '9:00- to 18:00', 'Saturday': '9:00- to 16:00', 'Sunday': 'Closed'}","Name: MSH Salon | Address: Stampfenbachstrasse 57, 8006 Zurich | Categories: Hairdresser",1596
Coiffeur Hairlights,"Weidmannstrasse 8, 8046 Zurich",043 960 11 82,info@hairlights.ch,['Hairdresser'],"{'Monday': 'Closed', 'Tuesday': '10:00- to 18:30', 'Wednesday': '10:00- to 18:30', 'Thursday': '10:00- to 18:30', 'Friday': '10:00- to 18:30', 'Saturday': '8:00- to 15:00', 'Sunday': 'Closed'}","Name: Coiffeur Hairlights | Address: Weidmannstrasse 8, 8046 Zurich | Categories: Hairdresser",1861
Coiffeur Miracolo,"Seefeldstrasse 124, 8008 Zurich",044 383 38 88,info@coiffure-miracolo.ch,['Hairdresser'],"{'Monday': '8:00- to 18:30', 'Tuesday': '8:00- to 18:30', 'Wednesday': '8:00- to 18:30', 'Thursday': '8:00- to 20:00', 'Friday': '8:00- to 20:00', 'Saturday': '8:00- to 16:00', 'Sunday': 'Closed'}","Name: Coiffeur Miracolo | Address: Seefeldstrasse 124, 8008 Zurich | Categories: Hairdresser",1879
coiffeur saan,"Wehntalerstrasse 634, 8046 Zurich",044 371 07 07,info@coiffeur-saan.ch,['Hairdresser'],"{'Monday': 'Closed', 'Tuesday': '8:30- to 12:00 / 13:30- to 20:00', 'Wednesday': '8:30- to 12:00 / 13:30- to 20:00', 'Thursday': '8:30- to 12:00 / 13:30- to 20:00', 'Friday': '8:30- to 12:00 / 13:30- to 20:00', 'Saturday': '8:00- to 18:00', 'Sunday': 'Closed'}","Name: coiffeur saan | Address: Wehntalerstrasse 634, 8046 Zurich | Categories: Hairdresser",1888
Coiffeur Tanya,"Regensdorferstrasse 9, 8049 Zurich",044 341 60 61,cut@tansa.ch,['Hairdresser'],"{'Monday': '9:00- to 18:30', 'Tuesday': '9:00- to 18:30', 'Wednesday': '9:00- to 18:30', 'Thursday': '9:00- to 18:30', 'Friday': '8:00- to 18:30', 'Saturday': '8:00- to 16:00', 'Sunday': 'Closed'}","Name: Coiffeur Tanya | Address: Regensdorferstrasse 9, 8049 Zurich | Categories: Hairdresser",1899
Coiffure Tijen,"Rosengartenstrasse 7, 8037 Zurich",044 271 83 55,c_tijen@hotmail.com,['Hairdresser'],"{'Monday': 'Closed', 'Tuesday': '8:30- to 18:30', 'Wednesday': '8:30- to 18:30', 'Thursday': '8:30- to 18:30', 'Friday': '8:30- to 18:30', 'Saturday': '8:00- to 14:00', 'Sunday': 'Closed'}","Name: Coiffure Tijen | Address: Rosengartenstrasse 7, 8037 Zurich | Categories: Hairdresser",1981
Haargenau,"Seefeldstrasse 96, 8008 Zurich",044 383 12 47,style@haargenau-cb.ch,['Hairdresser'],{'Opening Hours': 'Missing'},"Name: Haargenau | Address: Seefeldstrasse 96, 8008 Zurich | Categories: Hairdresser",2061
