qid,docid,docno,rank,score,query
1,2066,2066,0,10.33891825905065,aarau
1,75,75,1,9.701110539133007,aarau
1,878,878,2,8.421891215706927,aarau
1,1677,1677,3,8.421891215706927,aarau
1,2162,2162,4,8.421891215706927,aarau
1,1852,1852,5,8.131565342334216,aarau
1,2148,2148,6,8.131565342334216,aarau
1,2335,2335,7,8.131565342334216,aarau
1,2550,2550,8,8.131565342334216,aarau
1,1871,1871,9,7.860589104510713,aarau
1,2180,2180,10,7.860589104510713,aarau
1,2653,2653,11,7.860589104510713,aarau
1,2765,2765,12,7.860589104510713,aarau
1,413,413,13,7.607090464569827,aarau
1,2779,2779,14,7.607090464569827,aarau
1,165,165,15,7.369431328089034,aarau
1,1311,1311,16,7.369431328089034,aarau
1,14,14,17,7.146172106972075,aarau
