Salon Name,Address,Closing Time,First Contact
Be Different Hairstyle,"Via Beltramina 8, 6900 Lugano"," Open
 – Closes today at 9:00 PM",N/A
Team Laura Compagnia Della Bellezza Parrucchieri,"Via Cattedrale 4, 6900 Lugano"," Open
 – Closes in an hour",N/A
MAGAMO Beauty Lab,"Corso Pestalozzi 3, 6900 Lugano"," Open
 – Closes in 2 hours",N/A
Boudoir Sagl,"Via Geretta 11, 6900 Paradiso"," Open
 – Closes in 2 hours",N/A
Hairstyling Nora,"Via Giovanni Maraini 2, 6963 Pregassona"," Open
 – Closes in an hour",N/A
FRANCOIFFEUR,"Via Pessina 9, 6900 Lugano"," Open
 – Closes in an hour",N/A
RIXOS BARBER SHOP,"Via Carlo Maderno 24, 6900 Lugano"," Open
 – Closes in 2 hours",N/A
Salone Metamorphosis,"Via Carlo Frasca 10, 6900 Lugano"," Open by appointment
 – Closes in an hour",N/A
Salone by Franco,"Via Luigi Taddei 1, 6962 Viganello"," Open
 – Closes in an hour",N/A
Gio il Parrucchiere Sagl,"Via Giuseppe Motta 1, 6900 Lugano",,N/A
La ColorHouse Hair Salon,"Via la Santa 17, 6962 Viganello"," Open
 – Closes in an hour",N/A
Walter Hair Design - Salone Walter SA,"Via Serafino Balestra 4, 6900 Lugano"," Open
 – Closes today at 8:00 PM",N/A
SALONE MANUELA,"Via Carlo Frasca 1, 6900 Lugano"," Open by appointment
 – Closes in an hour",N/A
Sungates & Elixir - Extension Lugano,"Via Orti 8, 6900 Lugano"," Open
 – Closes today at 9:00 PM",N/A
Salone On Hair,"Via alla Roggia 9, 6962 Viganello"," Open
 – Closes in 2 hours",N/A
Mauri Concept,"Via Gerolamo Vegezzi 4, 6900 Lugano"," Open
 – Closes today at 9:00 PM",N/A
Etrebel Lugano - Acconciatura Estetica avanzata,"Piazza Alighieri Dante 8, 6900 Lugano"," Open
 – Closes in 2 hours",N/A
Gambino Barber Shop,"Via Giovan Battista Pioda 8, 6900 Lugano"," Open
 – Closes in an hour",N/A
Salone Liliana,"Via Rinaldo Simen 8, 6900 Lugano"," Open by appointment
 – Closes in 2 hours",N/A
Coiffure Chez Chiara,"Via alla Bozzoreda 37, 6963 Pregassona",,N/A
Aldo Coppola,"Via Nassa 46, 6900 Lugano"," Open
 – Closes in an hour",N/A
Barbara c/o Salone Giusi,"Via Giacomo Mercoli 5, 6900 Lugano"," Open
 – Closes in an hour",N/A
Beauty Hair,"Via Giuseppe Lepori 19, 6900 Massagno",,N/A
Cris Coiffure Lugano,"Via Nassa 40, 6900 Lugano"," Open
 – Closes in an hour",N/A
Salone Mod.Art di Regazzoni Roberta,"Via Besso 72, 6900 Massagno"," Open by appointment
 – Closes in an hour",N/A
Salone Okay,"Via Dott. G. Polar 38, 6932 Breganzona"," Open
 – Closes in 2 hours",N/A
Extension Hair Sagl,"Salita Viarno 13, 6963 Pregassona",,N/A
Specchio delle mie brame acconciature snc,"Via Zorzi 6, 6900 Paradiso",,N/A
