qid,docid,docno,rank,score,query
1,2799,2799,0,9.850522716233726,Hairdresser Lugano
1,2656,2656,1,8.024349612351802,Hairdresser Lugano
1,1998,1998,2,7.901769770714423,Hairdresser Lugano
1,883,883,3,7.070135044686605,Hairdresser Lugano
1,2426,2426,4,7.021946335123835,Hairdresser Lugano
1,2482,2482,5,6.809291828097498,Hairdresser Lugano
1,319,319,6,5.3203956163201145,Hairdresser Lugano
1,303,303,7,5.300632502804209,Hairdresser Lugano
1,630,630,8,5.148883063498744,Hairdresser Lugano
1,1776,1776,9,5.148883063498744,Hairdresser Lugano
1,1804,1804,10,5.148883063498744,Hairdresser Lugano
1,256,256,11,4.9880832010098874,Hairdresser Lugano
1,1109,1109,12,4.837022750887778,Hairdresser Lugano
1,1238,1238,13,4.837022750887778,Hairdresser Lugano
1,1416,1416,14,4.837022750887778,Hairdresser Lugano
1,101,101,15,4.434166304320489,Hairdresser Lugano
1,489,489,16,4.314390154388667,Hairdresser Lugano
1,205,205,17,4.200914622541771,Hairdresser Lugano
1,344,344,18,3.990976193278528,Hairdresser Lugano
1,1178,1178,19,3.990976193278528,Hairdresser Lugano
1,235,235,20,3.6706743338833676,Hairdresser Lugano
1,281,281,21,3.1259463880856804,Hairdresser Lugano
1,76,76,22,2.0197683199651015,Hairdresser Lugano
1,87,87,23,-1.3285314368641963,Hairdresser Lugano
1,143,143,24,-1.4151363003918396,Hairdresser Lugano
1,169,169,25,-1.4151363003918396,Hairdresser Lugano
1,286,286,26,-1.4151363003918396,Hairdresser Lugano
1,1032,1032,27,-1.4151363003918396,Hairdresser Lugano
1,151,151,28,-1.4465694929747812,Hairdresser Lugano
1,167,167,29,-1.4465694929747812,Hairdresser Lugano
1,177,177,30,-1.4465694929747812,Hairdresser Lugano
1,156,156,31,-1.4794308034688266,Hairdresser Lugano
1,162,162,32,-1.4794308034688266,Hairdresser Lugano
1,443,443,33,-1.4794308034688266,Hairdresser Lugano
1,484,484,34,-1.4794308034688266,Hairdresser Lugano
1,9,9,35,-1.513819820657604,Hairdresser Lugano
1,36,36,36,-1.513819820657604,Hairdresser Lugano
1,142,142,37,-1.513819820657604,Hairdresser Lugano
1,144,144,38,-1.513819820657604,Hairdresser Lugano
1,161,161,39,-1.513819820657604,Hairdresser Lugano
1,456,456,40,-1.513819820657604,Hairdresser Lugano
1,1308,1308,41,-1.513819820657604,Hairdresser Lugano
1,1497,1497,42,-1.513819820657604,Hairdresser Lugano
1,90,90,43,-1.54984561335618,Hairdresser Lugano
1,116,116,44,-1.54984561335618,Hairdresser Lugano
1,230,230,45,-1.54984561335618,Hairdresser Lugano
1,260,260,46,-1.54984561335618,Hairdresser Lugano
1,311,311,47,-1.54984561335618,Hairdresser Lugano
1,343,343,48,-1.54984561335618,Hairdresser Lugano
1,763,763,49,-1.54984561335618,Hairdresser Lugano
1,1474,1474,50,-1.54984561335618,Hairdresser Lugano
1,77,77,51,-1.587627885936264,Hairdresser Lugano
1,137,137,52,-1.587627885936264,Hairdresser Lugano
1,141,141,53,-1.587627885936264,Hairdresser Lugano
1,163,163,54,-1.587627885936264,Hairdresser Lugano
1,251,251,55,-1.587627885936264,Hairdresser Lugano
1,265,265,56,-1.587627885936264,Hairdresser Lugano
1,379,379,57,-1.587627885936264,Hairdresser Lugano
1,404,404,58,-1.587627885936264,Hairdresser Lugano
1,425,425,59,-1.587627885936264,Hairdresser Lugano
1,522,522,60,-1.587627885936264,Hairdresser Lugano
1,907,907,61,-1.587627885936264,Hairdresser Lugano
1,1334,1334,62,-1.587627885936264,Hairdresser Lugano
1,1591,1591,63,-1.587627885936264,Hairdresser Lugano
1,2900,2900,64,-1.587627885936264,Hairdresser Lugano
1,13,13,65,-1.6272983070916354,Hairdresser Lugano
1,28,28,66,-1.6272983070916354,Hairdresser Lugano
1,37,37,67,-1.6272983070916354,Hairdresser Lugano
1,50,50,68,-1.6272983070916354,Hairdresser Lugano
1,84,84,69,-1.6272983070916354,Hairdresser Lugano
1,131,131,70,-1.6272983070916354,Hairdresser Lugano
1,136,136,71,-1.6272983070916354,Hairdresser Lugano
1,154,154,72,-1.6272983070916354,Hairdresser Lugano
1,170,170,73,-1.6272983070916354,Hairdresser Lugano
1,181,181,74,-1.6272983070916354,Hairdresser Lugano
1,222,222,75,-1.6272983070916354,Hairdresser Lugano
1,223,223,76,-1.6272983070916354,Hairdresser Lugano
1,231,231,77,-1.6272983070916354,Hairdresser Lugano
1,237,237,78,-1.6272983070916354,Hairdresser Lugano
1,285,285,79,-1.6272983070916354,Hairdresser Lugano
1,293,293,80,-1.6272983070916354,Hairdresser Lugano
1,306,306,81,-1.6272983070916354,Hairdresser Lugano
1,345,345,82,-1.6272983070916354,Hairdresser Lugano
1,408,408,83,-1.6272983070916354,Hairdresser Lugano
1,410,410,84,-1.6272983070916354,Hairdresser Lugano
1,429,429,85,-1.6272983070916354,Hairdresser Lugano
1,924,924,86,-1.6272983070916354,Hairdresser Lugano
1,990,990,87,-1.6272983070916354,Hairdresser Lugano
1,1272,1272,88,-1.6272983070916354,Hairdresser Lugano
1,1425,1425,89,-1.6272983070916354,Hairdresser Lugano
1,2007,2007,90,-1.6272983070916354,Hairdresser Lugano
1,2156,2156,91,-1.6272983070916354,Hairdresser Lugano
1,2917,2917,92,-1.6272983070916354,Hairdresser Lugano
1,5,5,93,-1.6690020429219259,Hairdresser Lugano
1,27,27,94,-1.6690020429219259,Hairdresser Lugano
1,39,39,95,-1.6690020429219259,Hairdresser Lugano
1,53,53,96,-1.6690020429219259,Hairdresser Lugano
1,70,70,97,-1.6690020429219259,Hairdresser Lugano
1,71,71,98,-1.6690020429219259,Hairdresser Lugano
1,132,132,99,-1.6690020429219259,Hairdresser Lugano
1,155,155,100,-1.6690020429219259,Hairdresser Lugano
1,176,176,101,-1.6690020429219259,Hairdresser Lugano
1,195,195,102,-1.6690020429219259,Hairdresser Lugano
1,239,239,103,-1.6690020429219259,Hairdresser Lugano
1,316,316,104,-1.6690020429219259,Hairdresser Lugano
1,321,321,105,-1.6690020429219259,Hairdresser Lugano
1,403,403,106,-1.6690020429219259,Hairdresser Lugano
1,486,486,107,-1.6690020429219259,Hairdresser Lugano
