Salon Name,Address,Closing Time
Be Different Hairstyle,"Via Beltramina 8, 6900 Lugano"," Open
 – Closes today at 9:00 PM"
Team Laura Compagnia Della Bellezza Parrucchieri,"Via Cattedrale 4, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Hairstyling Nora,"Via Giovanni Maraini 2, 6963 Pregassona"," Open
 – Closes today at 6:30 PM"
MAGAMO Beauty Lab,"Corso Pestalozzi 3, 6900 Lugano"," Open
 – Closes today at 7:00 PM"
Walter Hair Design - Salone Walter SA,"Via Serafino Balestra 4, 6900 Lugano"," Open
 – Closes today at 8:00 PM"
Boudoir Sagl,"Via Geretta 11, 6900 Paradiso"," Open
 – Closes today at 7:30 PM"
La ColorHouse Hair Salon,"Via la Santa 17, 6962 Viganello"," Open
 – Closes today at 6:00 PM"
Gio il Parrucchiere Sagl,"Via Giuseppe Motta 1, 6900 Lugano",
SALONE MANUELA,"Via Carlo Frasca 1, 6900 Lugano"," Open by appointment
 – Closes today at 6:00 PM"
FRANCOIFFEUR,"Via Pessina 9, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Salone by Franco,"Via Luigi Taddei 1, 6962 Viganello"," Open
 – Closes today at 6:30 PM"
Salone Metamorphosis,"Via Carlo Frasca 10, 6900 Lugano"," Open by appointment
 – Closes today at 6:30 PM"
RIXOS BARBER SHOP,"Via Carlo Maderno 24, 6900 Lugano"," Open
 – Closes today at 7:00 PM"
Sungates & Elixir - Extension Lugano,"Via Orti 8, 6900 Lugano"," Open
 – Closes today at 9:00 PM"
Etrebel Lugano - Acconciatura Estetica avanzata,"Piazza Alighieri Dante 8, 6900 Lugano"," Open
 – Closes today at 7:00 PM"
Mauri Concept,"Via Gerolamo Vegezzi 4, 6900 Lugano"," Open
 – Closes today at 9:00 PM"
Salone On Hair,"Via alla Roggia 9, 6962 Viganello"," Closed
 – Opens in an hour"
Gambino Barber Shop,"Via Giovan Battista Pioda 8, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Salone Liliana,"Via Rinaldo Simen 8, 6900 Lugano"," Open by appointment
 – Closes today at 7:00 PM"
Coiffure Chez Chiara,"Via alla Bozzoreda 37, 6963 Pregassona",
Aldo Coppola,"Via Nassa 46, 6900 Lugano"," Open
 – Closes today at 6:00 PM"
Barbara c/o Salone Giusi,"Via Giacomo Mercoli 5, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Beauty Hair,"Via Giuseppe Lepori 19, 6900 Massagno",
Cris Coiffure Lugano,"Via Nassa 40, 6900 Lugano"," Open
 – Closes today at 6:00 PM"
Salone Mod.Art di Regazzoni Roberta,"Via Besso 72, 6900 Massagno"," Open by appointment
 – Closes today at 6:00 PM"
Salone Okay,"Via Dott. G. Polar 38, 6932 Breganzona"," Open
 – Closes today at 7:00 PM"
Extension Hair Sagl,"Salita Viarno 13, 6963 Pregassona",
Specchio delle mie brame acconciature snc,"Via Zorzi 6, 6900 Paradiso",
10.0 DIECIPUNTOZERO,"Piazza Dell'Indipendenza 11, 6900 Lugano"," Open
 – Closes today at 7:00 PM"
22 Shops Sagl,"Riva Paradiso 16, 6900 Paradiso"," Open
 – Closes today at 6:00 PM"
Bali Beauty Concept di Jasmine Sinay e La Barberia di Fabio Attampato,"Via Ceresio 9, 6963 Pregassona"," Open
 – Closes today at 8:00 PM"
Betty's Coiffure,"Via delle Scuole 15, 6900 Paradiso",
Bryan Pasini Hair Illusionist,"Viale Carlo Cattaneo 17, 6900 Lugano"," Open
 – Closes today at 9:00 PM"
Davide Style,"Via la Santa 17, 6962 Viganello"," Open
 – Closes today at 6:30 PM"
Francesco,"Via Nassa 32, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
MISTRETTA Coiffure,"Riva Paradiso 2, 6900 Paradiso"," Open
 – Closes today at 9:00 PM"
Pathos Hair Lugano,"Via al Chioso 28, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Style Me di Bottoni Paola,"Via Henri Dunant 3, 6900 Massagno"," Open by appointment
 – Closes today at 9:00 PM"
S&M Supermodel's di M. Pipicella,"Via Cortivallo 22, 6900 Lugano",
Esco Shop SA,"Via Vignola 4, 6900 Lugano"," Open
 – Closes today at 6:00 PM"
Nuova Chioma SA,"Via la Santa 20, 6962 Viganello"," Open
 – Closes today at 6:30 PM"
Dhalia Beauty Center,"Via Pasquale Lucchini 6, 6900 Lugano"," Open
 – Closes today at 7:00 PM"
Acconciature,"Via Pazzalino 17, 6962 Viganello",
All Fashion,"Via S. Carlo 7, 6932 Breganzona"," Open
 – Closes today at 6:30 PM"
Artemide,"Via Maggio 53, 6900 Lugano"," Closed
 – Opens in an hour"
Beauty Hair,"Via Pietro Capelli 2, 6962 Viganello"," Open
 – Closes in 2 hours"
Caprice,"Via San Gottardo 71, 6900 Massagno"," Open
 – Closes today at 6:30 PM"
Creative Uomo,"Piazza San Rocco 2, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Da Lia Coiffure,"Via Clemente Maraini 18, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Danilo Hairstyling,"Via Giulio Vicari 6, 6900 Lugano"," Closed
 – Opens in an hour"
Dark Lady Coiffure,"Via Calprino 16, 6900 Paradiso",
Di Bonaventura Marco,"Via G. e F. Ciani 12, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Elis salone unisex,"Via Dott. G. Polar 49, 6932 Breganzona"," Open
 – Closes today at 6:00 PM"
Felice Michele,"Viale Stefano Franscini 27, 6900 Lugano",
Franco,"Quartiere Maghetti 10, 6900 Lugano",
Giorgio,"Via Monte Boglia 1A, 6900 Lugano",
Hair L' Essenza,"Via Serafino Balestra 9, 6900 Lugano"," Open by appointment
 – Closes today at 9:00 PM"
Jean Claude Biguine,"Via Serafino Balestra 14, 6900 Lugano"," Open
 – Closes today at 8:00 PM"
L'appart Coiffure,"Viale Stefano Franscini 1, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Malva,"Via San Salvatore 2, 6900 Paradiso"," Open
 – Closes today at 6:30 PM"
MyDa,"Via Trevano 72, 6900 Lugano"," Open
 – Closes today at 9:00 PM"
Nadi Hair Style,"Via alle Fontane 2, 6963 Pregassona",
Papillon,"Via Loco 8, 6963 Pregassona"," Closed
 – Opens in 56 minutes"
Prima Linea,"Via Luigi Taddei 15, 6962 Viganello",
Salon Soleil,"Via Bernardino Stazio 8B, 6900 Massagno",
SALONE CONTICELLO,"Viale dei Faggi 9, 6900 Lugano"," Open
 – Closes today at 6:30 PM"
Salone d'Arte Coiffure,"Via S. Carlo 3, 6932 Breganzona",
Salone Domino,"Via Coremmo 1, 6900 Lugano",
Salone Giusy,"Via Giacomo Mercoli 5, 6900 Lugano",
Salone Jasmine,"Via Avv. B. Leoni 6, 6932 Breganzona"," Open
 – Closes today at 6:30 PM"
Salone Mauro,"Via Alla Bozzoreda 43, 6963 Pregassona"," Closed
 – Opens in an hour"
Salone Perchè No,"Via Boschina 7, 6963 Pregassona"," Open
 – Closes today at 6:30 PM"
Salone Yes,"Via Pessina 7, 6900 Lugano",
Studio Mary,"Corso Elvezia 24, 6900 Lugano",
Un diavolo per capello,"Via Pretorio 15, 6900 Lugano",
